V011,AP0001,AP0002,AP0003,AP0004,AP0005,AP0006,AP0007,AP0008,AP0009,AP0010,AP0011,AP012,AP0013,AP0014,AP015,AP0016,AP0019,AP0020,AP0062,DOMPRECDOMEXP,DOMPRECRESEXP,ADENSEXCDOMEXP,ADENSEXCRESEXP,ONUSEXCDOMEXP,ONUSEXCRESEXP,COABFAMDOMEXP,COABFAMRESEXP
3548500005003,18785,21454,40239,"45,51",20755,3477,144,15799,64,36263,"883,3017",0,9226,21,12083,40817,11959,124,"2592,2399","20,46","637,87","201,36","11999,57","706,56","18985,16",1323,"42727,2"
3548500005004,15250,16265,31515,"43,76",14719,2729,58,13963,46,26766,"682,4353",0,8209,219,9392,31778,9165,227,"1951,0242","252,89","9290,15","493,14","27831,08","699,11","23605,66",913,"29392,65"
3548500005005,33706,43705,77411,"50,12",67765,1500,758,7178,210,73913,"3089,9164","20563,68",1771,74,32985,78771,32828,158,"6751,0663","13,41","539,81","300,34","16599,07","1787,09","36885,54",904,"25041,07"
3548500005006,34373,42730,77103,"47,70",65369,2202,1283,8186,52,73155,"2588,2998",0,3184,918,28072,78504,27790,281,"6560,306","13,4",539,"111,15","5839,99","852,01","22465,37",1237,"29595,02"
3548500005007,52820,63233,116053,"47,42",91677,3869,1817,18375,105,108557,"1725,0707","47223,39",10746,807,39921,117509,39352,568,"4574,5123","65,83","1723,15","407,34","24927,16","1842,53","48000,44",2403,"66693,46"
3548500005008,14969,16213,31182,"44,84",18814,2130,423,9805,10,27690,"994,7801","45344,73",4107,258,10269,31431,9612,657,"2670,2428","160,27","5945,8","543,29","33955,59","1292,3","36594,93",822,"25105,67"
3548708005001,27570,27044,54614,"41,27",30255,3465,878,19815,202,48672,"872,9877",0,11788,184,17903,54924,15716,2186,"2488,0069","184,76","10987,23","205,97","20438,82","862,47","50674,89",904,"57289,16"
3548708005002,19792,22036,41828,"47,65",30813,1160,1326,8508,20,38515,"1457,7161",0,8284,318,14104,42397,13994,110,"3875,6827","86,11","8619,1","119,11","14832,88","470,63","29241,03",747,"44767,76"
3548708005003,23232,26082,49314,"48,34",30377,3822,543,14510,62,44393,"1297,5701",0,11340,19,16315,49732,16270,45,"3439,0467","114,68","5323,23","327,28","36388,09","713,87","39456,29",887,"51162,23"
3548708005004,14325,14401,28726,"43,13",15430,1705,361,11145,85,24822,"690,1194",0,8031,102,8302,28787,7996,307,"2007,14","335,93","23873,88","271,66","24608,9","449,75","29783,93",662,"29620,07"
3548708005005,15593,17603,33196,"42,25",25980,780,887,5501,0,30879,"2515,3831",0,5552,39,11826,33645,11546,279,"6452,3232","82,96","6421,7","87,46","7645,16","351,03","17419,19",514,"28260,26"
3548708005006,14595,16650,31245,"47,88",27479,586,1381,1799,0,29299,"2651,9358","28021,9",5028,23,11144,31563,10865,279,"6791,3122","57,77","3316,2","18,46","1363,16","213,81","10431,95",527,"37553,64"
3548708005007,17994,19365,37359,"44,87",26748,919,529,8945,219,33941,"1695,5109",0,7980,801,11453,37604,11086,367,"4792,6428","65,33","4101,68","129,58","13705,47","394,52","23965,4",605,"33048,84"
3548708005008,16277,16904,33181,"42,60",17395,1194,196,14372,23,29148,"792,0921",0,9547,0,9675,33332,9597,78,"2316,9299","42,22","2476,17","247,35","29217,97","450,44","27139,03",735,"49576,04"
3548708005009,14695,15025,29720,"42,55",14315,1540,130,13710,24,25656,"681,0521","102409,2",8310,0,8697,29918,8234,463,"1934,5612","476,73","49321,74","297,04","27682,45","378,73","21257,6",541,"34140,22"
3548708005010,24336,25902,50238,"45,39",29601,3326,896,16416,0,44570,"1120,3517",0,12609,618,15242,50705,14992,250,"3181,6928","141,44","8335,94","379,42","38462,48","708,2","48131,79",1097,"73745,53"
3548708005011,19851,21462,41313,"42,34",21792,2817,422,16283,0,36264,"690,0124",0,12136,0,12414,41532,12358,56,"1979,8564","141,35","10199,29","626,38","62557,21","1038,42","68758,65",912,"51922,94"
3548708005012,25026,27248,52274,"47,16",37527,2366,703,11662,15,47342,"1369,3034",0,12447,149,16301,52625,16196,105,"3847,48","56,51","2145,76","276,07","24535,88","474,62","25654,48",1091,"64250,13"
3548708005013,19734,21355,41089,"47,06",32086,1566,2069,5300,68,37964,"1530,0753",0,9740,87,13322,41455,13323,0,"4217,4423","55,1",5685,"74,9","8673,35","321,97","25144,79",798,"50788,55"
3548708005014,21685,22179,43864,"47,18",17063,4323,277,22073,61,36750,"554,4381",0,12499,0,12499,44122,12479,20,"1613,7556","196,87","20879,52","566,22","58815,63","685,35","47522,73",872,"54230,41"
3548708005015,24922,25458,50380,"41,55",23087,4187,330,22668,107,43734,"861,3142",0,12693,80,14342,50725,13737,605,"2523,6117","413,26","28114,73","297,13","28935,54","563,11","31237,96",969,"46581,87"
3548708005016,21647,24152,45799,"48,35",36807,1346,808,6694,144,42376,"2305,0607",0,6852,77,15726,46189,15668,58,"5940,7867","26,09","1361,66","33,73","2737,51","323,51","17582,52",557,"27484,15"
3548708005017,15948,16100,32048,"42,10",18875,1544,271,11358,0,27926,"904,6844",0,8540,290,9509,32223,6787,2722,"2627,0282","201,16","12811,75","106,65","10574,29","261,11","22013,09",756,"45832,49"
3548708005018,19596,22689,42285,"43,34",35021,1104,2170,3933,19,39853,"1999,0935",0,7612,40,14923,42853,14874,48,"5187,4731","18,86","1422,21","151,88","23389,41","529,69","26572,43",847,"57445,19"
3548708005019,12808,14182,26990,"44,44",19525,1147,778,5540,0,24809,"1653,5846",0,5421,450,8817,27144,8817,0,"4479,0209","25,23","2545,93","102,43","10894,46","358,7","22451,37",493,"35719,82"
3548906005001,5526,6607,12133,"45,83",10840,157,235,893,8,11576,"1959,3357","89394,47",3515,0,4750,12388,4735,15,"4674,2139","5,96","142,07","2,06","33,97","169,83","5729,26",144,"5520,44"
3548906005002,5328,5633,10961,"46,06",9028,397,234,1260,42,10464,"2286,3159",0,3038,166,4106,11132,4096,10,"5695,262",0,0,0,0,"149,22","2861,7",165,"6051,84"
3548906005003,7145,7695,14840,"46,87",11087,1112,130,2497,13,13409,"1008,0164",0,4700,27,4933,15014,4889,44,"2727,7947","8,05","194,21","98,87","4800,2","276,02","7376,86",358,10437
3548906005004,9999,10361,20360,"43,09",14728,1173,67,4392,0,17956,"852,9609","22078,99",5863,167,6318,20461,6244,74,"2340,4462","28,18","778,12","39,29","2381,57","225,24","6704,74",398,"12201,85"
3548906005005,6474,7094,13568,"43,46",11921,401,155,1091,0,12625,"1747,3514",0,4097,199,4631,13658,4607,25,"4662,0299",0,0,"48,02","2647,86","118,06","2088,91",166,"4710,05"
3548906005006,6966,7552,14518,"44,38",11053,965,31,2469,0,13247,"1149,5483",0,3644,0,4764,14692,4696,68,"3125,0009",0,0,"51,78","2832,8","138,09","4348,12",239,"7444,41"
3548906005007,8604,8708,17312,"47,20",11593,1244,25,4441,8,15344,"757,8156",0,5032,0,5069,17442,5055,14,"2246,0872",0,0,"82,9","3803,26","199,06","6015,82",388,"12391,41"
