V011,AP0001,AP0002,AP0003,AP0004,AP0005,AP0006,AP0007,AP0008,AP0009,AP0010,AP0011,AP012,AP0013,AP0014,AP015,AP0016,AP0019,AP0020,AP0062,DOMPRECDOMEXP,DOMPRECRESEXP,ADENSEXCDOMEXP,ADENSEXCRESEXP,ONUSEXCDOMEXP,ONUSEXCRESEXP,COABFAMDOMEXP,COABFAMRESEXP
3550308005010,13936,16844,30780,"46,66",22012,1412,2564,4791,0,29154,"3653,6566","137437,23",463,91,13311,31293,12502,808,"7845,5793","59,86","12325,61","310,97","39086,38","709,02","34467,18",280,"13717,17"
3550308005011,9616,10458,20074,"44,64",15543,879,887,2750,15,19105,"3786,9529",0,372,13,9286,20309,8671,615,"7741,2345",0,0,"242,95","29736,54","480,99","23685,73",120,"5211,35"
3550308005012,12717,16263,28980,"44,34",25295,930,839,1900,16,28095,"4555,9153",0,48,39,13137,29838,13061,76,"9430,945","39,15","770,48",0,0,"713,53","27894,95",54,"2665,61"
3550308005013,13188,15197,28385,"43,15",24762,686,873,2063,1,27541,"5708,0864","74375,64",746,22,13397,29023,13254,144,"11429,1033","24,79","614,64","62,86","4743,05","382,27","13391,73",183,"8575,39"
3550308005014,17810,20031,37841,"48,14",27209,2104,834,7562,132,35788,"2311,1703","40906,96",311,40,17681,38336,17020,663,"4606,0064","38,22","1109,98","628,67","76357,17","1760,93","85069,77",334,"21094,17"
3550308005015,8189,9110,17299,"48,74",10995,652,720,4884,48,15524,"1217,9653","117723,55",2637,340,5634,17463,5525,109,"3263,4839","37,7","1590,19","308,41","22424,99","619,1","17669,14",468,"12247,91"
3550308005016,21542,23515,45057,"45,60",32486,1836,1194,9364,177,41439,"1991,1745",0,5635,1096,15994,45459,14313,1681,"5303,4168","84,96","9849,36","410,9","44682,92","920,55","50706,41",890,"48919,43"
3550308005017,21065,23536,44601,"48,17",38239,1694,653,3857,157,41390,"2444,4303",0,6002,159,16936,44946,15403,1534,"6165,4805",0,0,"261,12","35912,98","617,17","31529,23",496,"32051,84"
3550308005018,14138,16985,31123,"48,69",28251,303,650,1892,27,29343,"2942,2081",0,3582,225,11274,31454,10998,276,"7444,7807","33,01","2724,21","149,56","16117,75","294,68","14609,65",303,"13415,36"
3550308005019,13266,15633,28899,"47,71",22622,631,1603,3995,47,26789,"2536,1723","29179,43",3590,358,10452,29136,10054,399,"6414,0773","116,73","10648,4","141,65","25379,51","382,99","16717,87",469,"22584,72"
3550308005020,11256,13643,24899,"51,10",19778,355,2802,1933,31,23772,"3857,3123",0,2055,57,10698,25242,10448,250,"8322,6748","29,33","2581,03","117,61","14136,89","318,07","12552,16",190,"11956,25"
3550308005021,16032,20525,36557,"49,15",29715,598,3311,2911,22,34781,"6006,2159",43700,1857,521,15423,36986,14752,672,"13478,0638","36,43","2604,92","16,91","6291,97","280,61","16218,85",267,"15037,38"
3550308005022,10448,13523,23971,"47,65",20474,435,1830,1187,46,22525,"6733,8556","76062,94",187,22,9925,24598,9862,62,"14847,8812","19,02","361,6",0,0,"59,95","2476,61",78,"4058,89"
3550308005023,11665,14865,26530,"45,64",23421,375,945,1385,0,25499,"6337,3898",0,261,107,12207,27202,12130,76,"12927,7674","20,95","438,9","25,45","2590,78","172,96","6686,24",214,"12815,86"
3550308005024,14054,17831,31885,"48,57",29033,642,586,1595,28,30343,"6228,0554",0,1617,81,13264,32721,13205,59,"13738,7084","57,19","1967,39","35,08","4922,84","261,87","9356,78",22,"994,14"
3550308005025,13564,16713,30277,"47,59",27327,256,1267,1407,21,28845,"7517,9218","20394,24",578,46,14431,30782,14281,149,"14709,8545","58,94","1883,37","20,26","1642,48","199,81","8535,57",0,0
3550308005026,10882,13947,24829,"49,75",22600,230,950,1050,0,23722,"5895,072","25133,34",1379,100,9942,25066,9634,309,"13731,003","20,94","438,67",0,0,"162,68","7073,48",189,"10764,23"
3550308005027,9846,10973,20819,"43,59",15652,1184,523,3403,57,19442,"2361,5459","43845,26",1186,39,8789,20957,8616,173,"5099,4129","83,06","2905,63","157,85","15974,45","381,76","13986,38",456,"31634,67"
3550308005028,10935,14122,25057,"50,70",22677,467,508,1337,67,23778,"4065,404",0,25,36,10334,25614,10258,76,"8968,421",0,0,0,0,"223,49","6913,85",176,"7884,46"
3550308005029,6413,7970,14383,"50,36",11610,432,481,1860,0,13328,"3440,752",0,597,180,5823,14587,5459,366,"7826,0033","37,31","520,83","25,71","1543,49","163,19","2714,12",181,"4687,69"
3550308005030,14875,17620,32495,"52,89",25984,1116,712,4458,224,30228,"2100,0022","15880,06",5650,313,10864,32819,10704,160,"5664,5097","39,51","1989,85","488,2","60291,55","536,21","28320,53",826,"47603,89"
3550308005031,12442,14288,26730,"45,14",19405,1185,334,5806,0,24499,"1627,3934",28009,5403,214,8924,27051,8840,84,"4326,1376","45,54","2514,96","248,94","38166,35","504,01","26152,48",594,"42936,68"
3550308005032,12769,14832,27601,"47,29",21302,1306,559,4434,0,25646,"1619,4481",0,6930,255,8917,27813,8917,0,"4476,959","7,08","200,55","358,47","43068,43","399,52","27711,31",473,"25557,49"
3550308005033,18509,21361,39870,"45,76",27848,1887,492,9366,278,36707,"1243,8334","24809,47",11775,231,13035,40363,12980,55,"3403,7146","35,5","1093,55","643,89","63383,49","1318,5","70937,19",1002,"46869,35"
3550308005034,12075,13745,25820,"43,42",18189,812,603,6119,98,23954,"1269,8196",0,7115,168,8399,26039,8376,23,"3482,9378",0,0,"485,53","61374,73","768,49","46928,44",587,"34770,89"
3550308005035,23466,24307,47773,"46,68",23429,2758,708,20861,17,40187,"871,4505","423284,68",10125,136,14174,47971,13677,497,"2409,2459","430,5","27824,4","835,52","87347,98","1167,96","86209,27",1019,"64929,8"
3550308005036,20061,23367,43428,"49,84",35567,909,945,6007,0,40340,"2714,0691","37312,88",5645,329,15723,43996,15372,350,"6762,7265","178,19","8413,89","279,48","47920,77","611,29","35549,93",456,"39440,75"
3550308005037,11686,13944,25630,"50,78",22665,313,1188,1463,0,24304,"4183,2204",0,3072,164,9207,25982,9125,82,"10682,3123",0,0,"52,32","4032,76","334,57","12768,3",403,"16076,77"
3550308005038,10218,12396,22614,"47,29",19416,659,770,1769,0,21532,"3233,0665",0,3368,88,8211,22844,8203,8,"8189,2314","25,22","1271,85","60,91","4858,38","300,18","17012,96",305,"13940,1"
3550308005039,22599,26414,49013,"47,94",42376,916,752,4927,41,45761,"2602,4377",0,10511,506,16969,49691,16890,79,"6838,1254","35,74","2496,51","372,29","41827,37","775,39","40679,47",911,"54029,83"
3550308005040,22356,25503,47859,"44,64",40294,1266,905,5395,0,44710,"1773,3187",0,10687,174,15864,48436,15633,230,"4885,5932","40,54","2182,5","497,38","53701,26","814,75","52270,28",724,"43863,98"
3550308005041,16513,19437,35950,"50,32",28638,1085,1845,4341,41,33533,"1414,1663",0,9867,125,11832,36286,11740,92,"3879,556",0,0,"342,94","38271,62","630,37",39741,870,"52493,75"
3550308005042,17992,20090,38082,"44,65",29945,1066,1476,5595,0,34382,"2275,1678",0,7944,142,13298,38445,12623,675,"6043,646","301,71","29782,18","207,11","31500,12","679,8","47445,63",712,"40054,77"
3550308005043,15094,17824,32918,"47,98",25991,1163,1954,3810,0,30904,"2471,5249","21889,9",7724,101,11633,33542,11419,214,"6424,452","129,02","7870,33","220,1","30594,43","826,53","43641,05",676,"49672,23"
3550308005044,18387,21274,39661,"43,85",27635,2002,4854,5144,26,36924,"2237,5055",0,8575,163,13052,40061,13014,39,"6125,3662","430,64","24540,77","269,61","32554,86","568,28","26783,15",651,"39229,37"
3550308005045,10776,12770,23546,"46,87",17873,1170,2382,2103,17,22070,"3221,2257",0,3042,64,8423,23917,8406,17,"8179,3558",0,0,"49,54","4758,99","192,09","10872,49",290,"15629,36"
3550308005046,20714,24343,45057,"45,32",36615,882,4260,3140,92,42730,"5448,3985",0,4773,220,17049,45739,16738,311,"13340,4919","40,31","3370,09","82,66","9607,95","355,81","14827,54",522,"28407,58"
3550308005047,19595,23604,43199,"47,07",33729,1046,6219,2100,105,40643,"4789,0028","9305,48",3928,327,16775,43711,16649,125,"11267,6337","15,51","481,07","66,91","4575,22","267,23","11576,32",527,"47870,11"
3550308005048,17215,21116,38331,"50,41",29102,696,6084,2431,19,36209,"3078,2328",0,4967,356,15091,39003,15008,82,"7222,9379","18,79","353,04","111,71","11700,58","557,32","23028,41",503,"23899,52"
3550308005049,15550,18486,34036,"53,62",31001,328,764,1904,39,32255,"7291,6206","132269,36",2069,106,13720,34639,13632,86,"16368,631","141,75","10822,36",0,0,"156,32","4336,73",159,"8403,71"
3550308005050,10790,12657,23447,"52,51",20453,560,621,1814,0,21962,"5866,2999",0,2946,37,9527,24046,9282,245,"13271,0839","142,81","14557,45","51,96","5402,33","143,13","8533,47",253,"17705,46"
3550308005051,9223,11728,20951,"48,81",19688,82,277,895,9,20069,"7439,5959",0,166,29,9700,21329,9542,158,"14942,578","21,95","481,59",0,0,"41,6","873,42",74,"8554,3"
3550308005052,8613,11182,19795,"49,24",16851,156,1422,1366,0,19017,"5386,3167",0,530,37,8907,20292,8800,108,"11156,3886","22,88","1047,01","45,94","10553,58","224,14","15962,73",97,"6322,37"
3550308005053,10529,12968,23497,"48,83",20258,578,901,1760,0,22313,"8411,1987",0,3033,351,9273,24003,9111,163,"19637,308","58,44","3237,63","26,99","2707,36","168,27","5998,03",191,"16116,65"
3550308005054,10000,12072,22072,"54,16",19055,586,576,1856,0,20835,"5272,7375",0,2072,43,9244,22541,9174,70,"11517,7223","121,56","11346,98","19,13","1829,31","164,77","7443,23",214,"10530,44"
3550308005055,13847,16581,30428,"49,35",27990,398,696,1345,0,28774,"4812,2552",0,1272,19,12065,30682,11953,112,"11084,5951",0,0,"28,64","3280,47","152,99","7372,58",219,"12717,91"
3550308005056,13347,16113,29460,"46,79",27083,522,738,1094,23,28066,"5064,0246",0,2694,29,11856,29931,11758,98,"11639,3207",0,0,0,0,"54,7","1505,43",252,"16177,45"
3550308005057,12181,14263,26444,"45,94",22524,688,501,2731,0,24607,"3547,51",0,3949,32,10354,26688,10261,93,"8163,9451","16,53","546,74","133,36","10154,23","189,58","6885,31",236,"10691,01"
3550308005058,13257,15946,29203,"48,13",24513,808,1129,2721,31,27621,"3161,1321","153572,94",3702,101,10940,29413,10708,232,"7755,961","64,61","1408,59","110,94","17313,26","396,72","15705,25",474,"35843,86"
3550308005059,16703,19833,36536,"48,68",32926,773,863,1974,0,34206,"4140,3077","144981,81",7245,191,13854,37096,13293,561,"10146,4732","49,33","2757,62","83,53","9262,2","385,1","19325,45",551,"33801,18"
3550308005060,18912,21725,40637,"47,35",24593,4530,437,10991,86,36817,"1098,4497",0,11029,91,12146,40959,12094,53,"3197,5321","31,25","1534,69","514,12","51450,98","724,48","41480,52",1418,"84834,68"
3550308005061,18268,21324,39592,"47,30",26869,2873,711,9095,43,36140,"1387,5362",0,8448,49,12771,40112,12748,23,"3807,9678",0,0,"342,37","52626,05","617,38","31055,65",878,"86909,37"
3550308005062,24653,28476,53129,"45,23",31673,5905,3235,12088,108,48650,"1274,5248",0,13632,643,16425,53658,16313,112,"3643,6425","20,83","867,41","763,38","77816,96","982,07","54382,09",1515,"89253,29"
3550308005063,16196,19819,36015,"46,06",31161,951,1455,2436,11,34309,"3565,487",0,2689,283,13414,36717,13342,71,"8847,9831","17,77","947,32","32,35","2117,65","337,42","13390,06",479,"26266,03"
3550308005064,15180,20881,36061,"46,32",27817,1467,1408,5273,96,34061,"3227,032","82415,65",4777,299,14653,36436,11498,3154,"8366,1251","62,98","4954,79","63,33","8022,99","455,28","21115,73",390,"19135,72"
3550308005065,21354,25367,46721,"50,17",38949,1538,1437,4775,22,44005,"2742,1617",0,8304,354,16187,47289,16042,145,"7172,8814","19,65","772,17","128,27","15223,25","593,91","29626,13",479,"33671,43"
3550308005066,16379,19315,35694,"49,27",27114,1605,1003,5946,26,33082,"1646,3423",0,8988,378,11930,35934,11762,168,"4466,3292","12,6","634,8","203,24","56292,07","644,67","32387,5",878,"67252,51"
3550308005067,21639,24828,46467,"44,48",31928,2634,550,11097,258,42334,"1108,5817",0,13311,119,14577,47002,14460,117,"3154,2199","25,3","640,33","669,69","74994,28","995,41","55518,36",1055,"61740,19"
3550308005068,15905,18286,34191,"46,17",22183,2541,358,8985,123,31009,"1010,1303",0,9092,0,10535,34409,10464,71,"2884,7339","69,03","4033,53","317,29","38316,3","740,21","41893,73",918,"52825,29"
3550308005069,23235,26026,49261,"50,27",30125,3664,461,14970,41,43605,"876,5165","18931,23",13585,696,14858,49689,14835,24,"2506,4813","59,82","3175,95","850,06","81515,72","1489,35","93478,73",1602,"99938,16"
3550308005070,24558,27801,52359,"43,21",35770,3525,833,12189,41,47308,"1171,5332","39950,04",13233,277,16353,52949,15879,474,"3374,2706","82,9","2429,96","423,19","39361,03","721,48","44339,41",1536,"92977,02"
3550308005071,15460,17838,33298,"42,94",23676,1461,469,7648,43,30902,"1257,4488","93791,15",7497,285,10763,33506,10659,104,"3450,1723","185,91","13973,2","239,71","23892,91","768,96","44421,99",789,"38758,28"
3550308005072,14608,16070,30678,"47,51",19633,1411,418,9217,0,27031,"906,0304",0,8225,167,9212,30958,9149,64,"2604,8558",0,0,"378,13","47398,98","570,48","30239,23",687,"41492,37"
3550308005073,12695,14325,27020,"44,28",18198,2050,294,6420,59,24653,"1180,1954",0,6548,333,8493,27368,8416,77,"3329,3393",0,0,"199,68","19376,32","360,57","25492,64",628,"43787,89"
3550308005074,18233,21481,39714,"47,75",32224,1946,569,4976,0,36842,"1551,7164",0,10274,479,13505,40071,13373,132,"4127,0497",0,0,"296,37","35870,88","703,61","33644,62",663,"39441,26"
3550308005075,13038,15134,28172,"48,36",21372,1525,912,4363,0,26025,"1584,8935","124809,92",7501,182,9307,28551,9142,164,"4293,6931","41,23","2017,64","290,14","32028,75","590,39","32510,25",560,"30810,7"
3550308005076,23475,26716,50191,"46,49",36180,3385,1332,9278,17,46171,"1286,3604","81832,13",13766,344,16030,50692,15884,146,"3582,5734","56,43","2835,39","385,02","43249,43","955,57","63066,93",1064,"71522,48"
3550308005077,19401,22364,41765,"50,23",33917,1241,1430,5176,0,39056,"2053,6303","44086,81",8258,294,13944,42427,13762,182,"5548,9151","35,31","1028,15","395,09","47086,58","552,53","36710,12",644,"32538,63"
3550308005078,19241,22275,41516,"46,81",29379,2268,4640,5204,25,38513,"1457,2659","23184,3",11020,62,13527,41886,13280,246,"4074,3658","23,18","537,51","287,57","39996,78","675,62","41067,44",875,"59630,79"
3550308005079,22182,24758,46940,"45,28",33523,1697,569,11107,45,42933,"1082,9265",0,12587,265,14717,47283,14695,22,"3056,6504",0,0,"529,49","56372,39","750,09","38445,53",1108,"75914,94"
3550308005080,20641,23255,43896,"47,15",34485,1337,1288,6727,59,40340,"1317,569",0,10383,61,14212,44145,14212,0,"3597,24","23,45","1100,19","275,56","25560,51","442,23","23067,28",800,"76511,55"
3550308005081,13406,15097,28503,"51,54",21552,1571,742,4638,0,26307,"1244,5692","6852,19",8318,170,9359,28919,9325,34,"3399,9232","51,22","1396,57","238,67","20707,66","444,13","24460,14",755,"48511,97"
3550308005082,13982,15432,29414,"45,05",23899,612,394,4417,92,27265,"1287,649",0,8735,117,9763,29706,9655,108,"3497,8933",0,0,"501,44","58511,8","899,6","49648,83",557,"32636,38"
3550308005083,16946,19800,36746,"45,81",29250,1140,543,5772,41,33962,"1608,2315",0,8333,268,12467,37129,12430,36,"4263,5365",0,0,"331,5","39479,02","774,95","36254,31",811,"41784,56"
3550308005084,21080,23968,45048,"43,25",30066,2641,777,11506,57,40516,"1418,4961","165794,71",8309,222,15109,45447,14905,204,"3734,8484","166,92","10230,38","395,45","39468,84","730,45","41496,24",747,"45094,37"
3550308005085,20541,23612,44153,"49,53",34861,1599,1141,6513,39,41054,"1579,3907","22907,51",10459,125,15433,44635,15358,76,"4060,4301","19,09","728,82","402,04","38147,46","1160,66","65658,09",874,"40587,31"
3550308005086,22565,23205,45770,"44,03",23544,2475,158,19538,55,38642,"616,776","19744,17",11001,150,13496,45843,13460,37,"1734,1837","29,91","1557,49","530,14","54075,61","949,3","54808,48",982,"60870,03"
3550308005087,16846,18615,35461,"49,42",26236,1571,502,7133,19,32242,"1412,8956",0,8156,0,11548,35950,11529,20,"3815,1687",0,0,"366,83",38261,"758,44","44148,48",768,"37996,74"
3550308005088,13213,15142,28355,"46,21",18450,2480,745,6680,0,25825,"1241,423",0,5716,146,8996,28527,8997,0,"3419,7298","23,33","1088,58","265,17","27428,92","437,64","32748,33",634,"35402,34"
3550308005089,19349,21586,40935,"43,23",23684,3182,586,13446,37,36613,"1244,6841",0,6312,883,13061,41165,13009,53,"3328,2036","132,36","7728,55","226,89","20996,42","497,56","31575,28",701,"35734,16"
3550308005090,12994,14370,27364,"48,53",21095,1172,99,4999,0,24857,"1470,8296",0,5674,30,8795,27495,8795,0,"4002,2886","61,67","10296,79","308,31","47463,51","340,94","18188,08",588,"52559,06"
3550308005091,21504,24377,45881,"50,29",26983,3435,1875,13557,32,41046,"1006,6223","143351,05",10768,1016,14216,46484,14118,98,"2865,8067","84,79","5901,33","800,65","86112,92","1151,3","68190,01",1215,"80689,21"
3550308005092,10098,12227,22325,"40,84",15647,582,4112,1984,0,21215,"3168,2067",0,2172,64,8301,22727,8195,107,"7836,4192",0,0,"52,35","3345,95","191,12","7222,78",269,"19894,6"
3550308005093,17435,20338,37773,"49,86",26021,1172,4720,5861,0,35348,"2142,5154",0,7051,307,13561,38218,13451,108,"5516,1894","20,55","1267,23","267,46","24275,79","374,64","16966,3",606,"29605,94"
3550308005094,12337,14588,26925,"49,13",22300,601,1919,2078,27,25493,"3065,583",0,6195,142,9456,27477,9342,114,"8045,7026","11,71","960,27","93,56","11837,23","200,75","7656,95",484,"24483,65"
3550308005095,14614,16852,31466,"43,41",19598,1538,1623,8684,22,28532,"1516,2142",0,6273,318,10531,31917,10473,58,"4018,2963","34,27","3051,26","255,96","27606,68","464,12","24881,69",620,"30615,49"
3550308005096,13367,15537,28904,"47,75",21674,1151,1302,4757,20,26522,"3501,0635",0,3930,116,10327,29264,10215,111,"8705,7506",0,0,"114,51","13686,84","444,78","24076,63",508,"27205,05"
3550308005097,14434,16029,30463,"49,28",15699,2142,1145,11439,38,25955,"1174,5124","72521,75",7039,179,9634,30815,8987,647,"3174,7615","376,14","44062,29","162,2","27581,09","604,41","40289,15",824,"44532,84"
3550308005098,12953,15756,28709,"44,41",26179,86,1615,829,0,27395,"6860,3359",0,258,35,12509,29281,12509,0,"14471,7191",0,0,0,0,"46,35","1102,23",182,"10925,41"
3550308005099,9258,11365,20623,"50,11",18920,251,671,780,0,19540,"5646,2666",0,931,30,8727,21027,8669,58,"12228,689","38,99","1874,26","11,36","516,26","61,49",1857,130,"6158,98"
3550308005100,18268,21449,39717,"46,10",32555,1183,1810,4169,0,37223,"4740,6103",0,7433,170,14621,40130,14373,248,"11822,0121","242,46","27522,58","23,44","6594,19","166,19","6099,77",424,"24581,19"
3550308005101,11731,14304,26035,"48,15",22147,623,902,2363,0,24399,"7105,5738",0,2906,346,9795,26675,9676,118,"17098,1614","58,13","4565,04",0,0,"16,54","273,54",234,"10452,04"
3550308005102,9287,11261,20548,"49,08",19170,269,390,720,0,19613,"5066,86",0,1384,329,9428,20744,9385,44,"10311,6394","11,54","533,02",0,0,"75,94","3112,95",73,"2786,2"
3550308005103,12657,14967,27624,"53,36",25330,160,954,1180,0,25934,"5001,3509",0,3945,197,11088,28060,10955,134,"11315,9795","20,71",429,"8,98","403,34",162,"4668,66",132,"11398,76"
3550308005104,21779,25178,46957,"46,13",36796,1895,766,7044,455,42901,"6854,865","49007,96",6420,407,15677,47553,15271,406,"18123,6758","551,97","46762,15",65,"6100,56","238,05","9664,8",524,"30967,38"
3550308005105,12782,14502,27284,"44,41",21800,1065,1381,2875,163,25934,"3089,3097",0,5566,344,10775,27746,9320,1455,"7901,0559","22,72","2065,05","67,61","8566,25","228,21",9493,384,"40675,64"
3550308005106,19356,23761,43117,"51,02",37754,973,1853,2537,0,40987,"5253,7994",0,6812,260,15834,44039,15408,426,"13227,1867",0,0,"112,98","11592,53","184,19","11142,51",343,"15804,95"
3550308005107,19478,20007,39485,"46,28",31698,833,2099,4695,62,36419,"4261,3434","54621,75",4313,100,15181,39834,13574,1606,"10496,3233","232,75","15623,63","81,48","10348,11","213,16","9604,33",423,"17106,67"
3550308005108,23661,25826,49487,"42,69",30273,2507,1592,14986,129,43518,"1865,2214",0,9209,16,16323,50061,15447,876,"4925,6321","268,35","17520,85","208,93","21114,55","582,49","27731,04",882,"47463,43"
3550308005109,11817,13078,24895,"45,92",17400,1269,230,5988,7,22932,"1384,8996",0,7354,0,7960,25108,7938,22,"3869,52","45,98","3423,64","304,49","14868,16","280,99","8580,48",639,"19430,19"
3550308005110,22982,25905,48887,"46,28",37215,2121,953,8598,0,45169,"1751,1977",0,11985,220,16150,49526,15992,157,"4746,4164","37,46","2455,71","226,96","21558,75","676,68","49808,93",1112,"77265,53"
3550308005111,17365,18591,35956,"41,53",20114,2464,152,13226,0,31127,"810,4315","23006,35",10046,16,10611,36195,10501,110,"2347,8655","125,63","18696,1","441,14","45198,13","554,33","40263,86",928,"56349,36"
3550308005112,12289,14424,26713,"46,56",20351,846,182,5310,24,24536,"1509,9409",0,6715,171,8827,27083,8828,0,"4062,716","46,12","3671,55","238,27","30791,38","470,62","32869,97",582,"36931,42"
3550308005113,16770,18510,35280,"48,56",24344,2140,753,8043,0,32068,"1418,2558",0,8989,234,11371,35513,11279,92,"3853,7899","26,26","2068,29","258,85","27700,63","442,85","27549,35",532,"32872,24"
3550308005114,18441,20247,38688,"49,16",23966,1804,529,12389,0,33952,"938,4343",0,11045,144,11679,38999,11669,10,"2668,8915","131,16","10555,92","314,83","29044,61","474,93","29121,81",1290,"83947,02"
3550308005115,18632,20434,39066,"44,25",23269,3369,228,12200,0,34255,"871,1034","30936,29",11666,84,11922,39345,11897,25,"2465,3073","38,28","2705,11","574,8","65236,58","805,22","52875,13",897,"91526,18"
3550308005116,20607,23728,44335,"47,17",32788,2397,696,8428,26,40824,"1587,0346",0,10303,131,14711,44662,14633,78,"4288,9433","19,72",389,"311,41","25641,98","615,37","30090,54",904,"44704,82"
3550308005117,14010,15975,29985,"46,58",23151,1140,347,5285,62,28026,"1541,4836","21457,9",6843,57,9912,30317,9796,115,"4193,3493","23,84","1136,89","251,9","22257,25","501,69","26360,26",562,"31941,1"
3550308005118,16429,18002,34431,"44,11",21495,3542,149,9218,27,31240,"1003,7399",0,9621,42,10572,34690,10572,0,"2870,5085",0,0,"513,7","43725,66","659,68","42868,22",1033,"60976,34"
3550308005119,15752,17824,33576,"45,60",21190,2355,306,9726,0,30286,"1204,309","7464,25",8991,78,10108,33978,10089,19,"3498,5053","18,66","696,44","417,65","48386,45","359,51","28711,11",830,"49200,41"
3550308005120,21640,24333,45973,"47,45",25898,4323,355,15309,88,40945,"905,2303","137121,09",12228,24,13949,46386,13844,105,"2565,1549","51,79","5438,03","579,29","56980,85","769,16","47104,57",1001,"63238,44"
3550308005121,16339,18322,34661,"43,76",18464,3587,537,12014,60,30857,"878,9193",0,10304,0,10516,34965,10516,0,"2517,7622",0,0,"607,18","56437,34","844,29","43272,71",984,"51311,15"
3550308005122,23489,25161,48650,"42,67",22130,3976,496,21970,77,41314,"565,6258",0,13472,314,14017,48789,13737,280,"1620,7616","153,53","9161,32","587,72","55921,59","777,9","54284,95",850,"52120,21"
3550308005123,22174,24469,46643,"44,40",21960,6178,371,18118,17,40421,"669,4719",0,12964,375,13375,46861,13348,27,"1963,3907","67,72","3674,72","522,24","52422,79","774,93","55331,1",1118,"60058,1"
3550308005124,17774,20119,37893,"47,52",24338,3798,452,9140,165,34301,"1273,6059",0,8500,89,11681,38376,11680,0,"3619,3335","21,67","2818,43","326,22","31962,12","541,16","35270,55",969,"68699,77"
3550308005125,18593,20857,39450,"40,42",24248,2670,523,11986,23,35239,"1105,0316",0,8484,533,12146,39729,12095,50,"3107,7644","124,54","11560,9","339,34","31598,55","786,12","52775,71",762,"48177,08"
3550308005126,17145,18248,35393,"46,92",17413,3460,466,14027,26,30171,"667,6349",0,9035,306,10068,35506,9973,94,"1957,5265","61,39","3865,45","513,7","54357,01","366,42","20416,07",748,"45248,59"
3550308005127,14838,15949,30787,"47,38",13222,2745,166,14655,0,26007,"637,835",0,7210,98,8865,30960,8644,221,"1841,8098","465,81","36693,89",300,"34744,03","464,09","29750,44",815,"61357,74"
3550308005128,19371,21816,41187,"46,19",27215,2293,661,11018,0,37343,"1335,2376","26631,68",9357,147,13478,41634,13358,120,"3606,2679","24,21","1758,46","339,2","28586,71","908,3","44605,81",959,"57701,7"
3550308005129,16248,18794,35042,"43,36",27792,1322,732,5171,25,32677,"2088,2126",0,7277,252,11483,35388,11405,78,"5719,6225",0,0,"302,32","29821,89","359,19","19121,03",441,"23872,72"
3550308005130,14488,16863,31351,"46,15",25115,1619,642,3958,16,29331,"2061,3683",0,4626,70,10673,31625,10580,93,"5447,0839",0,0,"26,31","1420,07","210,97","13180,36",588,"38360,27"
3550308005131,16027,19245,35272,"46,14",27656,1290,972,5354,0,33446,"1979,0955",0,6930,475,12116,35974,11805,311,"5339,0854","22,89","2095,53","208,74","26162,33","420,54","24895,4",709,"45645,4"
3550308005132,12591,14881,27472,"45,94",21802,1624,327,3720,0,25685,"1536,3121",0,7987,124,9063,27782,8991,72,"4226,5083",0,0,"294,12","30136,47","654,7","40104,26",623,"38740,1"
3550308005133,23484,26610,50094,"43,15",37835,2450,993,8647,170,46131,"1644,6464",0,13273,631,15914,50782,15583,331,"4609,8504","18,62","346,68","453,55","57434,45","870,11","49696,09",1033,"62468,21"
3550308005134,19857,22142,41999,"47,14",26561,2887,329,11976,247,37792,"1079,5442",0,12184,110,12544,42202,12390,154,"3171,5499",0,0,"572,57","52300,5","665,94","38817,31",1076,"65436,26"
3550308005135,26446,27678,54124,"43,89",25197,4172,206,24448,101,46369,"562,2885",0,13918,246,15079,54393,14948,131,"1691,1764","48,1","3515,13","597,55","68548,31","913,51","57817,18",1180,"60914,83"
3550308005136,20144,22106,42250,"40,03",23304,3556,75,15294,21,36458,"727,2695",0,10489,18,11962,42576,11311,651,"2200,7363","179,4","17748,3","450,24","67002,97","527,78","25076,65",980,"54962,44"
3550308005137,23923,26294,50217,"46,09",31105,3923,538,14536,115,45343,"826,2292",0,13798,179,14780,50636,14768,12,"2429,0683","12,26","2104,95","584,62","69640,36","794,39","46211,07",1211,"73943,34"
3550308005138,13351,15357,28708,"40,28",16326,2586,299,9497,0,25856,"879,9",0,4726,0,8817,28915,8817,0,"2504,3326",0,0,"55,17","6144,66","331,96","17583,03",573,"33581,49"
3550308005139,19034,19975,39009,"44,16",16868,2938,320,18858,25,33618,"679,2454",0,11026,320,11572,39552,11573,0,"1931,033","15,88","504,58","464,21","41180,53","682,99","43322,86",990,"54124,07"
3550308005140,14213,15385,29598,"46,14",18481,1370,370,9335,42,26398,"929,3937",0,7389,219,8970,29847,8959,10,"2630,1368","44,61","2486,42","251,7","25191,69","335,82","16698,72",586,"39593,32"
3550308005141,14793,16792,31585,"43,80",19390,2033,898,9264,0,28394,"879,3747",0,9399,0,9521,31864,9481,40,"2585,4117","14,77","872,91","239,07","30194,57","543,52","38089,45",915,"59667,98"
3550308005142,15997,18133,34130,"48,62",22562,2346,1483,7569,170,31250,"1084,0277",0,9489,58,10694,34475,10690,3,"3059,6908",0,0,"189,58","17932,26","423,79","23287,22",894,"54464,77"
