Área de Ponderação,Cód. UF,UF,Cod_meso,Mesorregião,Cód. Microrregião,Microrregião,Cód_RM,Região Metropolitana,Cód. Município,Município,Domicílios particulares permanentes-DPP,DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário,DPP com lixo coletado em caçamba de serviço de limpeza,DPP com lixo queimado na propriedade,DPP com lixo enterrado na propriedade,DPP com lixo jogado em terreno baldio ou logradouro,"DPP com lixo jogado em rio, lago ou mar",DPP SEM energia elétrica,DPP do tipo casa próprios e em aquisição,DPP do tipo casa alugados,DPP do tipo casa cedidos por empregador,DPP com outra forma de destino do lixo e outra forma de abastecimento de água,Moradores em DPP próprios e em aquisição,Moradores em DPP alugados,Moradores em DPP cedidos por empregador,"Moradores em DPP com outra condição de ocupação (não são próprios, alugados, nem cedidos)",Moradores em DPP SEM banheiro de uso exclusivo dos moradores e NEM sanitário,Moradores em DPP SEM energia elétrica,"Pessoas responsáveis, do sexo feminino","Pessoas responsáveis, do sexo masculino",Pessoas Residentes,Pessoas Residentes e cor ou raça - branca,Pessoas Residentes e cor ou raça - preta,Pessoas Residentes e cor ou raça - amarela,Pessoas Residentes e cor ou raça - parda,Pessoas Residentes e cor ou raça - indígena,Pessoas residentes em  DPP,Responsáveis pelos domicílios particulares,Cônjuges ou companheiros(as) em domi. partic.,Filhos(as) do responsável e do cônjuge em domi. partic.,Filhos(as) somente do responsável em domi. partic.,Enteados(as) em domi. partic.,Genros ou noras em domi. partic.,"Pais, mães, padrastos ou madrastas em domi. partic.",Sogros (as) em domi. partic.,Netos(as) em domi. partic.,Bisnetos(as) em domi. partic.,Irmãos ou irmãs em domi. partic.,Avôs ou avós em domi. partic.,Outros parentes em domi. partic.,Agregados(as) em  domi. partic.,Conviventes em domi. partic.,Total de domicílios particulares improvisados,Total do rendimento nominal mensal dos domi. partic.,Total do rendimento nominal mensal dos domi. partic. improvisados,Domicílios particulares sem rendimento nominal mensal domiciliar per capita,DPP alugados – Não existe iluminação pública,DPP alugados – Não existe pavimentação,DPP próprios – Existe esgoto a céu aberto,DPP alugados – Existe esgoto a céu aberto,DPP que não tinham banheiro ou sanitário – Não existe iluminação pública,DPP que não tinham banheiro ou sanitário – Não existe pavimentação,DPP que não tinham banheiro ou sanitário – Não existe calçada,DPP que não tinham banheiro ou sanitário – Não existe meio-fio/guia,DPP que não tinham banheiro ou sanitário – Não existe bueiro/boca-de-lobo,DPP que não tinham banheiro ou sanitário – Não existe rampa para cadeirante,DPP que não tinham banheiro ou sanitário – Não existe arborização,DPP que não tinham banheiro ou sanitário – Existe esgoto a céu aberto,DPP que não tinham banheiro ou sanitário – Existe lixo acumulado nos logradouros,DPP com moradia adequada – Existe identificação do logradouro,DPP com moradia adequada – Não existe identificação do logradouro,DPP com moradia semi-adequada – Existe identificação do logradouro,DPP com moradia semi-adequada – Não existe identificação do logradouro,DPP com moradia inadequada –  Existe identificação do logradouro,DPP com moradia inadequada – Não existe identificação do logradouro,Moradia Adequada_V202eV203,Moradia Semi-Adequada_V204eV205,Moradia Inadequada_V206eV207,DOMICILIOS PRECARIOS,COABITACAO,ONUS EXCESSIVO,ADENSAMENTO,DEFICIT TOTAL
3519105001001,35,São Paulo,3504,Bauru,35020,Bauru,0,Municípios não pertencentes a estrutura de RM,3519105,IACANGA,"0,05844952087","0,01694915254","0,002832389204","0,008298755187",0,"0,004545454545",0,"0,01675977654","0,08407275954","0,06905497221","0,01444043321","0,006134969325","0,05679367362","0,05959486919","0,01327614379","0,001219724691","0,01851851852","0,01023391813","0,0510169682","0,06137420105","0,05350253673","0,06275048908","0,03192714331","0,009164818921","0,04073821199","0,007352941176","0,05373851947","0,05842696629","0,057682084","0,04738218553","0,0475475776","0,06597510373","0,05838323353","0,03976339139","0,05758426966","0,05954573358","0,07594936709","0,04344651333","0,04242424242","0,06071557644","0,03055555556","0,04376784015",0,"0,02828701303",0,"0,02665051484","0,008771929825","0,01658090337","0,003824409711","0,006751054852",0,"0,03333333333","0,03125","0,03125","0,03125","0,01886792453","0,0625",0,0,"0,04012760684","0,09463722397","0,00625698324","0,008745627186","0,01470588235","0,04098360656","0,06391536455","0,009320905459","0,03726708075","0,004931506849","0,05631349782","0,05056818182","0,01180438449","0,05279279279"
3519204001001,35,São Paulo,3509,Marília,35037,Tupã,0,Municípios não pertencentes a estrutura de RM,3519204,IACRI,"0,03313047822",0,0,"0,002074688797",0,0,0,0,"0,06832298137","0,0389129092","0,002166064982",0,"0,04735801582","0,03273431547","0,001429738562","0,001393971075",0,0,"0,02444094842","0,03787768739","0,02921863439","0,02634166975","0,01402700722","0,01818181818","0,03798646887","0,007352941176","0,02930648621","0,0330041993","0,03279505582","0,02640890211","0,02563486822","0,04273858921","0,02195608782","0,02267499178","0,04494382022","0,02655003069","0,03797468354","0,02300109529","0,01212121212","0,03035778822","0,005555555556","0,01902949572",0,"0,01358456751",0,"0,009691096305","0,001754385965","0,0005717552887",0,0,0,0,0,0,0,0,0,0,0,"0,04257955654","0,001779503357","0,0008938547486",0,0,0,"0,038198084","0,0005918035212",0,"0,001095890411","0,02931785196","0,01534090909","0,02529510961","0,02540540541"
3519253001001,35,São Paulo,3504,Bauru,35022,Avaré,0,Municípios não pertencentes a estrutura de RM,3519253,IARAS,"0,01550933285",0,"0,0009996667777","0,01037344398",0,0,0,"0,01117318436","0,01929902396","0,02297714639","0,005776173285","0,004601226994","0,0141534867","0,01663703327","0,004901960784","0,002090956613",0,"0,01169590643","0,01623777953","0,01550697269","0,0145994081","0,01748004018","0,01475976133","0,0007390983001","0,01206215215","0,004901960784","0,01455694942","0,01566224038","0,01465311005","0,01364032614","0,01771027196","0,02116182573","0,01696606786","0,01248767663","0,005617977528","0,02209944751","0,0253164557","0,01204819277","0,01212121212","0,007950849295","0,005555555556","0,007136060894","0,02341137124","0,006918359904","0,0720047782","0,009691096305","0,02280701754","0,01200686106","0,002327901563","0,003375527426",0,0,0,0,0,0,0,0,0,"0,01262885918","0,02224379196","0,01810055866","0,008245877061","0,01470588235","0,008196721311","0,01667357336","0,01686640036","0,01242236025","0,01260273973","0,02002902758","0,01875","0,01011804384","0,0227027027"
3519303003001,35,São Paulo,3505,Araraquara,35025,São Carlos,0,Municípios não pertencentes a estrutura de RM,3519303,IBATÉ,"0,1882465144",0,"0,00433188937","0,01037344398","0,08510638298","0,001515151515",0,"0,04469273743","0,2100709849","0,2536133416","0,02238267148","0,006134969325","0,1623831776","0,2202501905","0,02124183007","0,01045478306",0,"0,02923976608","0,1569277447","0,2006101104","0,1907898214","0,1879553746","0,1556579085","0,01951219512","0,1994703412","0,05147058824","0,1916908508","0,1882419703","0,1951754386","0,1858622635","0,1785435553","0,2692946058","0,2255489022","0,1725271114","0,1755617978","0,209791283","0,2088607595","0,2172325666","0,1818181818","0,213227322","0,1","0,06612749762","0,01003344482","0,07841357551","0,004497994337","0,1508176863","0,00350877193","0,01257861635",0,0,0,0,0,0,0,0,0,0,0,"0,185399035","0,1092776834","0,0156424581","0,005247376312",0,0,"0,2026424201","0,01346353011",0,"0,004383561644","0,2037735849","0,2590909091","0,2782462057","0,2387387387"
3519402001001,35,São Paulo,3501,São José do Rio Preto,35004,São José do Rio Preto,0,Municípios não pertencentes a estrutura de RM,3519402,IBIRÁ,"0,0722557791","0,01694915254","0,001332889037","0,002074688797",0,0,0,0,"0,06388642413","0,1033971587","0,01660649819",0,"0,04884076204","0,08556642113","0,01450163399","0,00278794215","0,05555555556",0,"0,0582087875","0,07887855898","0,06221593912","0,07823190398","0,01172406574","0,005764966741","0,04224856723","0,002450980392","0,06240495149","0,07227329475","0,07240164806","0,05612532691","0,04328510536","0,06390041494","0,03992015968","0,06079526783","0,08005617978","0,04511970534","0,05063291139","0,05439941585","0,02424242424","0,06541380557","0,03888888889","0,04852521408","0,006688963211","0,03456658323","0,005972746579","0,03937007874","0,01403508772","0,02401372213",0,0,0,0,0,0,"0,03125","0,01886792453",0,0,0,"0,04105038361","0,1289331069","0,01162011173","0,04022988506",0,"0,008196721311","0,07510420983","0,03151353751","0,006211180124",0,"0,05253991292","0,05625","0,05564924115","0,0554954955"
3519501001001,35,São Paulo,3510,Assis,35039,Assis,0,Municípios não pertencentes a estrutura de RM,3519501,IBIRAREMA,"0,04119169808",0,"0,003665444852","0,00622406639",0,0,0,"0,005586592179","0,0612244898","0,04632489191","0,005776173285",0,"0,04457225018","0,0384493269","0,003880718954","0,003659174072",0,"0,001461988304","0,02848634678","0,04844567112","0,03689488426","0,04843229525","0,02282005653","0,00310421286","0,01942772019","0,002450980392","0,03695685379","0,04124389967","0,04090244551","0,03569047741","0,03512036981","0,05767634855","0,01846307385","0,02201774565","0,02808988764","0,03345610804","0,05063291139","0,02008032129","0,006060606061","0,02529815685","0,02222222222","0,01094196004","0,01003344482","0,01543057974","0,008553563001","0,06904906118","0,01403508772","0,003430531732",0,0,0,0,0,0,0,0,0,0,0,"0,04898626381","0,002022162905","0,002011173184","0,00299850075","0,01470588235",0,"0,04419472004","0,003106968486","0,006211180124","0,003835616438","0,02786647315","0,04431818182","0,01686340641","0,03333333333"
3519600003001,35,São Paulo,3505,Araraquara,35024,Araraquara,0,Municípios não pertencentes a estrutura de RM,3519600,IBITINGA,"0,1497797357","0,01694915254","0,0009996667777","0,0622406639",0,"0,001515151515",0,"0,01675977654","0,17635315","0,1930821495","0,04476534296","0,001533742331","0,1192038102","0,1621158242","0,04064542484","0,003659174072","0,01851851852","0,01754385965","0,1487807619","0,1442475305","0,1365011627","0,1686987786","0,07317073171","0,01345158906","0,08275919144","0,002450980392","0,1363850685","0,1496765407","0,1420454545","0,1143787498","0,1200096056","0,1261410788","0,1467065868","0,185014788","0,172752809","0,1418047882","0,08860759494","0,1705001825","0,2484848485","0,1492591254","0,07222222222","0,06137012369","0,01337792642","0,07487944788","0,0195035984","0,1768625076","0,01052631579","0,006861063465","0,0004988360492","0,0008438818565",0,0,0,0,"0,03125","0,01886792453",0,0,0,"0,07732869308","0,2822130551","0,005810055866","0,02223888056",0,"0,02459016393","0,1548399678","0,01701435124","0,01863354037",0,"0,1622641509","0,1255681818","0,1096121417","0,1513513514"
3519600003002,35,São Paulo,3505,Araraquara,35024,Araraquara,0,Municípios não pertencentes a estrutura de RM,3519600,IBITINGA,"0,207593442","0,1355932203","0,003332222592","0,02697095436",0,0,0,"0,06703910615","0,4015084295","0,2853613342","0,03754512635",0,"0,2827552121","0,2431737363","0,0324754902","0,01202300052","0,1944444444","0,04824561404","0,197831217","0,2051496223","0,1925007927","0,2308465077","0,09033811368","0,02039911308","0,1335526452","0,04411764706","0,193324523","0,2075814323","0,20670521","0,1699143634","0,171279342","0,2070539419","0,1876247505","0,1873151495","0,2485955056","0,1878453039","0,1329113924","0,1880248266","0,1939393939","0,2331044452","0,1944444444","0,1146527117","0,02006688963","0,09220144505","0,03657385559","0,1944276196","0,01578947368","0,009719839909",0,0,0,0,0,0,"0,25","0,1509433962",0,0,"0,05555555556","0,08755833267","0,4792526086","0,002905027933","0,01424287856","0,04411764706","0,008196721311","0,2236793994","0,01035656162","0,0248447205","0,01150684932","0,1846153846","0,1727272727","0,1534569983","0,1888288288"
3519709003002,35,São Paulo,3512,Macro Metropolitana Paulista,35045,Piedade,0,Municípios não pertencentes a estrutura de RM,3519709,IBIÚNA,"0,009877832781","0,03389830508","0,008163945352","0,002074688797",0,0,0,0,"0,02883762201","0,00679431748","0,005776173285",0,"0,0212526959","0,005556261113","0,009395424837",0,"0,02777777778",0,"0,006967074952","0,01216589192","0,01014031286","0,01119864643","0,005129278761","0,009164818921","0,01106904186","0,009803921569","0,01019384916","0,00987402111","0,01049973418","0,01138403159","0,01422825239","0,01410788382","0,0124750499","0,005257969109","0,009831460674","0,009054634745","0,01265822785","0,006936838262",0,"0,01301048066","0,005555555556","0,001902949572",0,"0,004148457799",0,"0,01938219261","0,02631578947","0,005145797599","0,003325573661","0,00253164557",0,"0,03333333333","0,0625","0,03125","0,03125","0,03773584906",0,0,0,"0,002662870099","0,008250424654","0,0261452514","0,0752123938","0,01470588235",0,"0,003242083709","0,06184346797","0,006211180124",0,"0,009869375907","0,008522727273","0,01854974705","0,01009009009"
3519709003003,35,São Paulo,3512,Macro Metropolitana Paulista,35045,Piedade,0,Municípios não pertencentes a estrutura de RM,3519709,IBIÚNA,"0,1515963486","0,2711864407","0,0568143952","0,1639004149","0,2127659574","0,01515151515",0,"0,05586592179","0,06433007986","0,1755404571","0,1097472924","0,007668711656","0,04937994249","0,1501778004","0,1131535948","0,008189580066","0,4444444444","0,0350877193","0,135520845","0,1558323649","0,1462847479","0,1564320838","0,07662514393","0,1507760532","0,1192559949","0,02205882353","0,1463996122","0,1516059471","0,1484914939","0,1415824829","0,1537491745","0,1497925311","0,1462075848","0,1166611896","0,1278089888","0,1503990178","0,06962025316","0,1226725082","0,09696969697","0,1225153596","0,04444444444","0,04852521408","0,01003344482","0,06921360986","0,01100165172","0,1811023622","0,1456140351","0,06918238994","0,04639175258","0,0970464135","0,1578947368","0,1333333333","0,4375","0,1875","0,3125","0,2830188679","0,125","0,09090909091",0,"0,0779087242","0,1077408396","0,2053631285","0,256121939","0,07352941176","0,09836065574","0,1027959925","0,2876165113","0,1055900621","0,03780821918","0,1413642961","0,1130681818","0,1585160202","0,1522522523"
